Fiscal Year,Number of CRs,Total Duration in Days,Final Expiration Date
1998,6,57,11-26-1997
1999,6,21,10-21-1998
2000,7,63,12-02-1999
2001,21,82,12-21-2000
2002,8,102,01-10-2002
2003,8,143,02-20-2003
2004,5,123,01-31-2004
2005,3,69,12-08-2004
2006,3,92,12-31-2005
2007,4,365,09-30-2007
2008,4,92,12-31-2007
2009,2,162,03-11-2009
2010,2,79,12-18-2009
2011,8,365,09-30-2011
2012,5,84,12-23-2011
2013,2,365,09-30-2013
2014,4,110,01-18-2014
2015,5,156,03-06-2015
2016,3,83,12-22-2015
2017,3,216,05-05-2017
2018,5,173,03-23-2018
2019,3,138,02-15-2019
2020,2,81,12-20-2019
2021,5,88,12-28-2020
2022,4,166,03-15-2022
2023,3,91,12-30-2022
